0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
down,0,1980.6834999999992,470,2148.176999999999,1880,2081.142749999999,2290,2028.1942499999993,0,1237.9799999999996,460,1565.3460000000002,1850,1531.222,2530,1321.9875000000002,0,991.3044999999998,490,1186.377,1770,1152.778,2530,1029.0197499999997
up,0,1977.8592499999993,510,2232.925,1700,2193.4625,2240,2063.6637499999993,90,1279.067,410,1301.341,1640,1275.7792499999994,1950,1252.67925,0,1000.6277499999999,500,1167.6174999999998,1660,1139.3010000000002,2230,1033.3632499999999
down,0,2026.133749999999,488,2182.0254999999993,1808,2115.3802499999997,2443,2030.0202499999991,3,1225.267,488,1578.136,1888,1537.37925,2448,1333.2167499999998,-2,1008.018,488,1196.4787500000004,1728,1162.1354999999999,2438,1039.5764999999997
up,0,1989.4182499999993,550,2246.30225,2230,2201.77575,2810,2070.1264999999994,160,1273.1627499999997,320,1286.3870000000004,2210,1266.8292499999995,2825,1240.5317499999999,-10,1006.952,540,1145.9850000000001,2190,1122.3255000000001,2840,1025.3097500000001
down,0,2032.6032499999997,470,2219.5222499999995,1910,2144.4862499999995,2090,2111.3199999999997,-80,1225.1970000000001,470,1583.005,1910,1553.0600000000002,2530,1340.6834999999999,-80,1000.8527499999999,460,1200.6875,1850,1168.204,2530,1036.9629999999997
up,0,2005.774499999999,580,2242.95325,2260,2183.06675,2760,2068.83725,5,1291.8250000000003,555,1305.6405,2240,1266.1215,2840,1245.4252499999996,10,1012.8764999999997,530,1152.0795,2220,1122.48325,2920,1020.1454999999996
down,0,2023.2322499999998,530,2183.1329999999994,2020,2116.7899999999995,2380,2048.6802499999994,0,1225.2555000000002,560,1574.81025,1960,1547.3647500000002,2870,1305.8600000000004,40,1002.2300000000001,550,1175.3747499999997,1910,1143.5465,2660,1028.16775
up,0,1995.8695,570,2245.0980000000004,2230,2218.05075,2890,2066.986249999999,25,1275.2492499999994,575,1297.9782500000001,2200,1269.8169999999993,2960,1238.3472499999998,50,1004.58625,580,1152.686,2170,1132.6455,3030,1021.6005000000001
down,0,2037.095249999999,468,2170.3949999999995,1998,2099.4309999999996,2653,2021.1877499999996,3,1231.1042499999999,458,1567.66225,2048,1534.6465,2738,1323.3372499999998,-2,1003.6872499999997,478,1180.2430000000002,1948,1148.2575000000002,2568,1038.135
up,0,1993.1179999999995,560,2246.4440000000004,2000,2190.5127499999994,2680,2046.947,30,1291.1820000000002,410,1306.08675,1990,1276.9314999999997,2320,1258.3682499999998,60,1016.1994999999998,540,1152.9897500000002,2000,1128.90675,2730,1018.5137499999996
up,0,1983.0334999999993,540,2252.2127499999992,2050,2189.905999999999,2530,2075.0994999999994,140,1280.4664999999998,520,1314.153,2200,1268.5167499999998,2500,1248.2327500000001,-10,1003.7939999999999,540,1169.2465000000002,2040,1135.5107499999997,2600,1032.0265
